GameId,SeasonYear,OffenseTeam,ConversionSuccess,ShortYardage,IsRush,MediumYardage,IsPass,IsGoForIt,LongYardage,IsTouchdown,IsIncomplete,YardsToGo,DownToGoRatio,Yards,YardLineFixed,FieldPosition
2019121512,2019,ATL,,0,0,0,0,0,1,0,0,7,1.4,0,25,0.25
2019121512,2019,SF,1.0,1,0,0,1,1,0,0,0,1,0.2,5,36,0.36
2019121508,2019,PHI,,0,0,0,0,0,1,0,0,7,1.4,0,48,0.48
2019121508,2019,PHI,,0,0,0,0,0,1,0,0,7,1.4,0,7,0.07
2019121600,2019,IND,0.0,0,0,0,1,1,1,0,1,8,1.6,0,49,0.49
2019121600,2019,IND,,0,0,0,0,0,1,0,0,8,1.6,0,39,0.39
2019121600,2019,NO,,1,0,0,0,0,0,0,0,2,0.4,0,15,0.15
2019121511,2019,DAL,,0,0,1,0,0,0,0,0,5,1.0,0,32,0.32
2019121508,2019,WAS,,0,0,1,0,0,0,0,0,4,0.8,0,43,0.43
2019122211,2019,WAS,0.0,0,0,1,1,1,0,0,1,3,0.6,0,3,0.03
2019122211,2019,NYG,,0,0,1,0,0,0,0,0,4,0.8,0,35,0.35
2019122208,2019,CIN,1.0,0,0,1,1,1,0,1,0,3,0.6,3,3,0.03
2019122208,2019,CIN,0.0,0,0,0,1,1,1,0,0,10,2.0,5,32,0.32
2019121507,2019,HOU,,0,0,0,0,0,1,0,0,12,2.4,0,44,0.44
2019121507,2019,HOU,,0,0,0,0,0,1,0,0,9,1.8,0,48,0.48
2019121507,2019,TEN,0.0,0,0,0,1,1,1,0,1,10,2.0,0,37,0.37
2019121507,2019,TEN,,0,0,0,0,0,1,0,0,7,1.4,0,27,0.27
2019121504,2019,DEN,1.0,0,0,1,1,1,0,0,0,6,1.2,12,16,0.16
2019121504,2019,KC,,0,0,0,0,0,1,0,0,15,3.0,0,26,0.26
2019121507,2019,HOU,,0,0,0,0,0,1,0,0,7,1.4,0,39,0.39
2019121507,2019,HOU,,0,0,0,0,0,1,0,0,11,2.2,0,11,0.11
2019121507,2019,HOU,,0,0,1,0,0,0,0,0,6,1.2,0,6,0.06
2019121506,2019,PIT,0.0,0,0,0,1,1,1,0,0,7,1.4,0,23,0.23
2019121506,2019,BUF,,0,0,0,0,0,1,0,0,18,3.6,0,18,0.18
2019121600,2019,IND,1.0,0,0,1,1,1,0,0,0,4,0.8,11,40,0.4
2019121509,2019,ARI,,0,0,1,0,0,0,0,0,3,0.6,0,3,0.03
2019121500,2019,SEA,1.0,1,1,0,0,1,0,1,0,1,0.2,6,6,0.06
2019121509,2019,ARI,1.0,1,1,0,0,1,0,0,0,1,0.2,3,26,0.26
2019121509,2019,CLE,,0,0,0,0,0,1,0,0,8,1.6,0,26,0.26
2019121506,2019,BUF,,0,0,0,0,0,1,0,0,8,1.6,0,50,0.5
2019121505,2019,MIA,,0,0,1,0,0,0,0,0,6,1.2,0,29,0.29
2019121505,2019,MIA,,1,0,0,0,0,0,0,0,1,0.2,0,6,0.06
2019121505,2019,MIA,,1,0,0,0,0,0,0,0,2,0.4,0,48,0.48
2019121505,2019,NYG,,0,0,1,0,0,0,0,0,5,1.0,0,43,0.43
2019121505,2019,MIA,0.0,1,1,0,0,1,0,0,0,1,0.2,-3,10,0.1
2019122205,2019,JAX,,0,0,1,0,0,0,0,0,4,0.8,0,9,0.09
2019122205,2019,ATL,,1,0,0,0,0,0,0,0,2,0.4,0,5,0.05
2019122205,2019,ATL,,0,0,0,0,0,1,0,0,9,1.8,0,40,0.4
2019121511,2019,LA,1.0,0,0,1,1,1,0,0,0,3,0.6,6,29,0.29
2019121511,2019,DAL,,0,0,1,0,0,0,0,0,6,1.2,0,24,0.24
2019121511,2019,DAL,,0,0,0,0,0,1,0,0,8,1.6,0,24,0.24
